Serwer,Polaczenia,RPS,p50,p99,Timeouts
Sync,10,9.35,1.06s,1.27s,0
Async,10,9.59,1.04s,1.09s,0
Sync,30,9.42,3.12s,3.36s,0
Async,30,9.18,875.83ms,5.56s,0
Sync,50,9.42,5.20s,5.55s,0
Async,50,9.42,3.92s,9.39s,0
Sync,100,9.40,10.46s,10.91s,0
Async,100,9.08,3.78s,22.50s,0
Sync,150,9.34,15.01s,15.88s,0
Async,150,8.99,8.65s,17.55s,0
Sync,200,9.11,15.44s,22.11s,0
Async,200,8.75,5.83s,19.52s,0
Sync,300,8.98,11.23
15.29s,29.57s,0
Async,300,8.89,9.92s,18.54s,0
